UF;Municipio;Automóvel;Caminhão;Caminhonete;Motocicleta;Ônibus;Utilitário;Outros;Total
CE;IBIAPINA;2154;242;535;3824;30;32;887;7704
CE;IBICUITINGA;759;105;170;2212;28;9;164;3447
CE;ICAPUI;965;133;265;4321;62;22;1110;6878
CE;ICO;4733;420;1218;15016;104;36;3198;24725
CE;IGUATU;12120;1158;3060;27443;195;254;7953;52183
CE;INDEPENDENCIA;1721;267;763;6508;30;20;1235;10544
CE;IPAPORANGA;584;47;204;2776;13;2;278;3904
CE;IPAUMIRIM;3670;332;1047;3718;41;23;784;9615
CE;IPU;3355;359;959;7201;33;58;2904;14869
CE;IPUEIRAS;2141;125;979;7317;17;32;1049;11660
CE;IRACEMA;875;72;270;3879;33;11;341;5481
CE;IRAUCUBA;1056;126;233;3334;46;9;415;5219
CE;ITAICABA;697;42;141;1820;17;3;291;3011
CE;ITAITINGA;4773;465;628;5905;103;68;1133;13075
CE;ITAPAJE;3575;383;813;10366;58;70;1273;16538
CE;ITAPIPOCA;8391;1064;2412;23145;147;232;4453;39844
CE;ITAPIUNA;1001;70;196;2490;33;5;190;3985
CE;ITAREMA;2178;195;1162;5205;49;58;864;9711
CE;ITATIRA;1230;229;274;2893;61;13;201;4901
CE;JAGUARETAMA;965;173;413;3822;29;8;387;5797
CE;JAGUARIBARA;827;125;347;2640;17;8;626;4590
CE;JAGUARIBE;2866;439;1019;8582;40;49;1525;14520
CE;JAGUARUANA;2055;297;511;7607;34;35;1524;12063
CE;JARDIM;2102;212;863;5109;56;21;631;8994
CE;JATI;908;79;238;1007;27;11;364;2634
CE;JIJOCA DE JERICOACOARA;1958;117;1383;4771;22;317;920;9488
CE;JUAZEIRO DO NORTE;40259;2182;8257;57591;324;888;15789;125290
CE;JUCAS;1099;151;396;4638;40;16;694;7034
CE;LAVRAS DA MANGABEIRA;1636;144;440;4367;41;21;466;7115
CE;LIMOEIRO DO NORTE;8441;898;1542;14258;184;138;7121;32582
CE;MADALENA;1006;184;191;2923;45;15;221;4585
CE;MARACANAU;34743;2494;4066;28273;473;598;5461;76108
CE;MARANGUAPE;11418;759;1554;12368;313;225;1570;28207
CE;MARCO;1623;331;702;4548;36;53;647;7940
CE;MARTINOPOLE;390;42;153;1514;3;3;308;2413
CE;MASSAPE;1910;127;368;6301;117;29;1217;10069
CE;MAURITI;3086;207;1089;7273;82;25;930;12692
CE;MERUOCA;699;54;246;2730;31;9;538;4307
CE;MILAGRES;2265;134;431;3292;37;15;836;7010
CE;MILHA;884;101;277;3803;33;7;242;5347
CE;MIRAIMA;432;36;125;1677;13;4;118;2405
CE;MISSAO VELHA;2999;298;1189;6526;38;28;919;11997
CE;MOMBACA;2552;297;802;7590;51;55;1176;12523
CE;MONSENHOR TABOSA;986;108;301;3959;9;10;420;5793
CE;MORADA NOVA;6223;632;1348;13185;145;55;3583;25171
CE;MORAUJO;447;26;94;1448;11;7;177;2210
CE;MORRINHOS;1288;133;336;2946;28;32;724;5487
CE;MUCAMBO;787;53;228;2903;18;14;967;4970
CE;MULUNGU;509;79;126;1569;16;2;133;2434
CE;NOVA OLINDA;999;133;296;2550;16;12;442;4448
CE;NOVA RUSSAS;2744;231;610;7495;30;41;1333;12484
CE;NOVO ORIENTE;1781;88;665;7718;28;17;1492;11789
CE;OCARA;2164;214;425;3979;65;12;332;7191
CE;OROS;1226;159;589;3937;33;16;601;6561
CE;PACAJUS;10369;762;1335;9130;171;135;3158;25060
CE;PACATUBA;7611;343;731;7598;59;66;1034;17442
CE;PACOTI;706;111;183;2090;18;5;122;3235
CE;PACUJA;392;27;88;1225;9;1;296;2038
CE;PALHANO;816;100;197;2419;14;8;335;3889
CE;PALMACIA;523;53;124;1364;22;1;86;2173
CE;PARACURU;3764;251;635;4213;43;75;749;9730
CE;PARAIPABA;2696;328;505;4873;42;47;768;9259
CE;PARAMBU;1778;276;647;7190;25;15;1075;11006
CE;PARAMOTI;642;66;148;1991;25;5;102;2979
CE;PEDRA BRANCA;2674;606;725;9472;51;24;1369;14921
CE;PENAFORTE;910;138;281;2098;28;6;302;3763
CE;PENTECOSTE;2799;318;634;7246;41;58;1449;12545
CE;PEREIRO;1503;130;500;8704;43;21;363;11264
CE;PINDORETAMA;2334;192;457;2337;36;32;322;5710
CE;PIQUET CARNEIRO;738;69;257;2806;16;8;291;4185
CE;PIRES FERREIRA;447;27;133;1520;7;7;284;2425
CE;PORANGA;536;32;334;2365;10;4;337;3618
CE;PORTEIRAS;1107;104;433;2181;97;8;756;4686
CE;POTENGI;470;79;187;1546;10;6;125;2423
CE;POTIRETAMA;312;60;84;1300;8;0;118;1882
CE;QUITERIANOPOLIS;906;90;503;4719;8;10;929;7165
CE;QUIXADA;8389;1035;1492;16368;167;127;4917;32495
CE;QUIXELO;761;80;334;4046;44;7;267;5539
CE;QUIXERAMOBIM;5847;668;1204;15983;184;83;2901;26870
CE;QUIXERE;1997;315;405;5033;50;16;1718;9534
CE;REDENCAO;2495;267;415;4225;77;33;475;7987
CE;RERIUTABA;1309;128;335;3522;28;19;699;6040
CE;RUSSAS;8227;1089;1689;19659;195;160;6682;37701
CE;SABOEIRO;513;55;311;2602;12;4;300;3797
CE;SALITRE;633;190;220;1536;47;3;171;2800
CE;SANTA QUITERIA;2914;339;742;8497;45;54;1615;14206
CE;SANTANA DO ACARAU;1354;183;368;4367;65;25;1062;7424
CE;SANTANA DO CARIRI;873;97;340;2144;27;6;212;3699
CE;SAO BENEDITO;5073;550;1344;8173;103;102;3110;18455
CE;SAO GONCALO DO AMARANTE;6166;461;882;6536;154;99;1392;15690
CE;SAO JOAO DO JAGUARIBE;669;46;154;1965;10;3;655;3502
CE;SAO LUIS DO CURU;865;81;150;1665;15;4;267;3047
CE;SENADOR POMPEU;1805;212;456;5713;82;31;561;8860
CE;SENADOR SA;338;35;100;1029;18;3;131;1654
CE;SOBRAL;26018;1817;4505;46593;494;862;17247;97536
CE;SOLONOPOLE;1081;111;391;4455;27;14;260;6339
CE;TABULEIRO DO NORTE;3631;434;705;9020;57;40;5112;18999
CE;TAMBORIL;1617;156;502;5191;34;17;753;8270
CE;TARRAFAS;315;32;119;1420;10;3;230;2129
CE;TAUA;4745;601;1376;15040;65;82;2935;24844
CE;TEJUCUOCA;792;116;198;2510;31;6;118;3771
CE;TIANGUA;11197;1548;2959;15416;250;313;6768;38451
CE;TRAIRI;3142;308;890;6562;90;52;837;11881
CE;TURURU;992;77;281;2371;15;6;164;3906
CE;UBAJARA;3391;317;752;5978;91;61;1504;12094
CE;UMARI;379;14;75;675;8;0;82;1233
CE;UMIRIM;1122;61;160;1950;45;11;186;3535
CE;URUBURETAMA;819;107;255;3582;35;13;341;5152
CE;URUOCA;612;98;219;2178;20;7;342;3476
CE;VARJOTA;1720;174;491;4302;14;42;1103;7846
CE;VARZEA ALEGRE;3055;308;981;9915;68;43;1432;15802
CE;VICOSA DO CEARA;3017;481;1651;9708;99;69;2591;17616
DF;BRASILIA;1328622;24767;132643;198792;13305;31528;155263;1884920
ES;AFONSO CLAUDIO;8327;808;1874;6837;110;78;1986;20020
ES;AGUA DOCE DO NORTE;1713;159;441;2525;47;16;594;5495
ES;AGUIA BRANCA;1537;200;550;2423;63;8;748;5529
ES;ALEGRE;6997;311;1247;3882;48;102;1474;14061
ES;ALFREDO CHAVES;3971;558;1210;2363;49;66;2075;10292
ES;ALTO RIO NOVO;1325;141;351;1190;24;6;426;3463
ES;ANCHIETA;6271;425;1067;2367;79;126;2205;12540
ES;APIACA;2380;223;504;1134;11;48;479;4779
ES;ARACRUZ;21759;1586;3851;8470;528;340;8173;44707
ES;ATILIO VIVACQUA;2187;230;479;1985;29;26;495;5431
ES;BAIXO GUANDU;7577;584;1765;5483;104;80;2444;18037
ES;BARRA DE SAO FRANCISCO;8966;649;2103;8010;158;121;3699;23706
ES;BOA ESPERANCA;2039;280;619;2782;56;10;572;6358
ES;BOM JESUS DO NORTE;6439;419;1185;3165;40;165;1780;13193
ES;BREJETUBA;2758;373;705;2376;66;27;355;6660
ES;CACHOEIRO DE ITAPEMIRIM;58300;5399;9851;26033;1733;1256;14653;117225
ES;CARIACICA;87673;6441;11434;36531;1645;759;22067;166550
ES;CASTELO;10741;1415;3268;6205;113;292;4828;26862
ES;COLATINA;30589;2694;6709;15558;634;535;8766;65485
ES;CONCEICAO DA BARRA;3425;296;751;1818;151;47;984;7472
ES;CONCEICAO DO CASTELO;3430;338;1124;1920;71;41;846;7770
ES;DIVINO DE SAO LOURENCO;1078;93;206;840;14;11;117;2359
ES;DOMINGOS MARTINS;10460;1485;2901;8269;94;188;2285;25682
ES;DORES DO RIO PRETO;1994;181;417;978;19;28;275;3892
ES;ECOPORANGA;3075;213;806;3966;116;26;1061;9263
ES;FUNDAO;3998;364;869;1524;47;40;1029;7871
ES;GOVERNADOR LINDENBERG;1856;346;732;2744;7;12;875;6572
ES;GUACUI;9777;899;1813;4285;75;126;1740;18715
ES;GUARAPARI;37995;1515;7122;13979;304;2016;10743;73674
ES;IBATIBA;7034;695;1432;5699;91;79;979;16009
ES;IBIRACU;2735;404;645;1068;47;58;1010;5967
ES;IBITIRAMA;2097;184;395;1692;33;9;333;4743
ES;ICONHA;4314;552;1164;2970;77;68;3539;12684
ES;IRUPI;3111;289;887;2597;39;19;490;7432
ES;ITAGUACU;2868;333;887;2906;75;7;669;7745
ES;ITAPEMIRIM;6915;672;1341;4713;84;128;2359;16212
ES;ITARANA;2751;493;805;2489;46;25;769;7378
ES;IUNA;6865;585;1614;5189;83;71;1201;15608
ES;JAGUARE;4563;536;1447;5269;94;54;2448;14411
ES;JERONIMO MONTEIRO;2582;124;479;1882;23;9;701;5800
ES;JOAO NEIVA;4039;332;956;1408;38;49;1152;7974
ES;LARANJA DA TERRA;2604;370;451;3777;34;11;556;7803
ES;LINHARES;34174;3073;7497;17705;625;754;14482;78310
ES;MANTENOPOLIS;2466;232;697;1815;36;20;624;5890
ES;MARATAIZES;9125;1204;2935;5130;111;263;3257;22025
ES;MARECHAL FLORIANO;5238;923;1320;3369;57;111;1403;12421
ES;MARILANDIA;2544;450;860;3161;30;30;873;7948
ES;MIMOSO DO SUL;5700;398;1369;4251;95;134;1439;13386
ES;MONTANHA;2767;309;852;2223;133;43;847;7174
ES;MUCURICI;898;105;194;622;28;7;171;2025
ES;MUNIZ FREIRE;3974;316;972;3541;53;39;721;9616
ES;MUQUI;3238;233;780;2175;43;58;787;7314
ES;NOVA VENECIA;9343;1094;3100;8941;195;87;3442;26202
ES;PANCAS;3089;345;816;3556;29;25;651;8511
ES;PEDRO CANARIO;4199;813;1022;2294;363;25;1519;10235
ES;PINHEIROS;3454;343;902;2906;169;33;918;8725
ES;PIUMA;5265;326;1043;2221;16;179;2023;11073
ES;PONTO BELO;1013;68;222;780;21;5;269;2378
ES;PRESIDENTE KENNEDY;3219;430;893;2621;23;67;708;7961
ES;RIO BANANAL;3632;742;1714;5342;58;73;2385;13946
ES;RIO NOVO DO SUL;2594;372;596;2438;38;35;982;7055
ES;SANTA LEOPOLDINA;2502;524;718;2848;36;26;502;7156
ES;SANTA MARIA DE JETIBA;12454;3048;3798;10759;111;116;4951;35237
ES;SANTA TERESA;6797;863;1941;4843;129;127;1492;16192
ES;SAO DOMINGOS DO NORTE;1591;289;605;1828;54;12;865;5244
ES;SAO GABRIEL DA PALHA;6812;812;1861;7492;188;77;4389;21631
ES;SAO JOSE DO CALCADO;2859;113;479;1467;25;35;448;5426
ES;SAO MATEUS;23796;1407;5031;13331;452;396;8118;52531
ES;SAO ROQUE DO CANAA;2223;370;655;2883;40;10;645;6826
ES;SERRA;125329;9198;15422;32652;2283;1539;26335;212758
ES;SOORETAMA;3924;406;946;3149;70;25;955;9475
ES;VARGEM ALTA;5238;611;1489;3225;77;93;1134;11867
ES;VENDA NOVA DO IMIGRANTE;8601;903;2446;3674;131;247;2350;18352
ES;VIANA;14821;1475;2547;6447;393;93;7188;32964
ES;VILA PAVAO;1436;195;534;2694;32;7;615;5513
ES;VILA VALERIO;2553;449;1007;4622;114;26;1015;9786
ES;VILA VELHA;136701;4545;15879;38527;903;4153;31457;232165
ES;VITORIA;125519;4305;17659;23122;912;5723;25197;202437
GO;ABADIA DE GOIAS;2307;167;450;1097;14;22;689;4746
GO;ABADIANIA;2945;311;648;1204;36;28;760;5932
GO;ACREUNA;5118;462;1241;2353;132;65;2634;12005
GO;ADELANDIA;606;48;151;338;7;3;182;1335
GO;AGUA FRIA DE GOIAS;612;56;149;240;24;3;125;1209
GO;AGUA LIMPA;452;22;114;168;2;3;86;847
GO;AGUAS LINDAS DE GOIAS;15263;1367;2437;5726;746;83;8374;33996
GO;ALEXANIA;6954;557;1214;2307;55;51;2010;13148
GO;ALOANDIA;497;28;81;356;5;2;167;1136
GO;ALTO HORIZONTE;1117;76;265;594;26;12;518;2608
GO;ALTO PARAISO DE GOIAS;1214;88;444;583;18;66;309;2722
GO;ALVORADA DO NORTE;1977;182;403;902;19;11;559;4053
GO;AMARALINA;271;15;89;258;14;1;72;720
GO;AMERICANO DO BRASIL;1288;77;342;816;28;6;455;3012
GO;AMORINOPOLIS;642;41;181;528;12;1;208;1613
GO;ANAPOLIS;139906;10042;22676;54624;1758;2752;45489;277247
GO;ANHANGUERA;325;9;58;121;2;1;41;557
GO;ANICUNS;5688;403;1179;2489;101;23;2146;12029
GO;APARECIDA DE GOIANIA;145351;7680;17045;84952;732;1209;45685;302654
GO;APARECIDA DO RIO DOCE;661;74;167;255;11;5;183;1356
GO;APORE;927;119;265;311;35;10;287;1954
GO;ARACU;1005;38;215;515;14;3;306;2096
GO;ARAGARCAS;6998;507;1564;3883;33;61;2924;15970
GO;ARAGOIANIA;2152;111;440;1333;12;11;532;4591
GO;ARAGUAPAZ;1375;113;332;1068;19;5;645;3557
GO;ARENOPOLIS;482;28;196;329;10;5;133;1183
GO;ARUANA;992;85;233;849;24;9;619;2811
GO;AURILANDIA;742;36;168;415;3;1;155;1520
GO;AVELINOPOLIS;599;67;150;309;3;4;160;1292
GO;BALIZA;185;10;75;108;8;3;56;445
GO;BARRO ALTO;2308;192;548;776;89;18;1090;5021
GO;BELA VISTA DE GOIAS;7583;561;1939;5175;62;49;2991;18360
GO;BOM JARDIM DE GOIAS;1318;162;546;1195;38;11;884;4154
GO;BOM JESUS;6584;519;1486;2331;154;79;3896;15049
GO;BONFINOPOLIS;1547;77;333;900;11;4;415;3287
GO;BONOPOLIS;263;26;94;399;13;0;105;900
GO;BRAZABRANTES;732;69;133;336;8;1;210;1489
GO;BRITANIA;1262;106;290;665;14;11;506;2854
GO;BURITI ALEGRE;3192;250;660;897;20;26;918;5963
GO;BURITI DE GOIAS;753;29;203;587;2;3;209;1786
GO;BURITINOPOLIS;504;32;73;294;9;0;94;1006
GO;CABECEIRAS;1534;165;319;541;32;2;342;2935
GO;CACHOEIRA ALTA;2588;183;679;1012;77;14;784;5337
GO;CACHOEIRA DE GOIAS;300;10;69;134;2;1;66;582
GO;CACHOEIRA DOURADA;2049;130;341;681;49;6;773;4029
GO;CACU;3591;335;1160;1386;49;44;1487;8052
GO;CAIAPONIA;3599;302;1303;1669;16;37;1495;8421
GO;CALDAS NOVAS;25642;904;5060;18731;134;311;14992;65774
GO;CALDAZINHA;734;39;248;778;3;4;183;1989
GO;CAMPESTRE DE GOIAS;697;49;167;488;8;9;220;1638
GO;CAMPINACU;529;48;174;470;6;7;139;1373
GO;CAMPINORTE;2672;213;677;1613;26;40;1032;6273
GO;CAMPO ALEGRE DE GOIAS;1516;190;481;515;31;12;480;3225
GO;CAMPO LIMPO DE GOIAS;1268;212;392;582;7;7;364;2832
GO;CAMPOS BELOS;4370;331;1396;3334;62;32;1505;11030
GO;CAMPOS VERDES;689;51;116;604;3;3;230;1696
GO;CARMO DO RIO VERDE;2113;131;430;1482;55;10;893;5114
GO;CASTELANDIA;651;71;146;327;12;3;249;1459
GO;CATALAO;37246;2182;9619;16846;419;2018;14870;83200
GO;CATURAI;1111;58;432;526;10;3;328;2468
GO;CAVALCANTE;653;58;321;567;6;27;137;1769
GO;CERES;8280;547;1874;5816;59;139;3580;20295
GO;CEZARINA;2058;163;401;1010;32;8;800;4472
GO;CHAPADAO DO CEU;2587;379;832;936;33;86;2149;7002
GO;CIDADE OCIDENTAL;6349;227;647;2613;130;25;1857;11848
GO;COCALZINHO DE GOIAS;2825;245;694;970;39;26;784;5583
GO;COLINAS DO SUL;380;32;125;195;2;1;96;831
GO;CORREGO DO OURO;521;26;170;377;3;3;105;1205
GO;CORUMBA DE GOIAS;2057;126;512;1057;38;14;466;4270
GO;CORUMBAIBA;2064;180;602;1041;11;17;733;4648
GO;CRISTALINA;15009;1883;3734;4265;537;200;5504;31132
GO;CRISTIANOPOLIS;946;66;262;431;4;4;223;1936
GO;CRIXAS;3765;201;1083;2330;25;32;1391;8827
GO;CROMINIA;981;61;299;538;5;1;267;2152
GO;CUMARI;813;31;190;419;5;5;132;1595
GO;DAMIANOPOLIS;480;31;157;286;16;3;79;1052
GO;DAMOLANDIA;721;57;210;437;9;5;259;1698
GO;DAVINOPOLIS;451;35;171;177;6;0;70;910
GO;DIORAMA;365;19;141;398;8;2;114;1047
GO;DIVINOPOLIS DE GOIAS;398;42;111;207;10;4;109;881
GO;DOVERLANDIA;1504;152;709;1589;40;16;631;4641
GO;EDEALINA;916;87;246;503;14;3;301;2070
GO;EDEIA;3136;313;921;1467;27;37;1525;7426
GO;ESTRELA DO NORTE;599;42;169;643;4;5;191;1653
GO;FAINA;1058;71;306;716;11;3;280;2445
GO;FAZENDA NOVA;1031;53;297;1383;10;5;406;3185
GO;FIRMINOPOLIS;2623;125;578;1349;8;13;1030;5726
GO;FLORES DE GOIAS;546;61;153;475;17;1;151;1404
