UF;Municipio;Automóvel;Caminhão;Caminhonete;Motocicleta;Ônibus;Utilitário;Outros;Total
SE;CANINDE DE SAO FRANCISCO;2048;208;491;3419;32;9;624;6831
SE;CAPELA;2507;149;262;2832;72;9;1149;6980
SE;CARIRA;2090;310;415;3616;117;5;627;7180
SE;CARMOPOLIS;1933;110;245;986;30;12;836;4152
SE;CEDRO DE SAO JOAO;581;22;93;577;5;3;271;1552
SE;CRISTINAPOLIS;1191;114;171;1680;45;9;447;3657
SE;CUMBE;365;31;50;466;15;1;115;1043
SE;DIVINA PASTORA;391;9;36;192;10;0;67;705
SE;ESTANCIA;8870;590;1334;7961;326;92;6206;25379
SE;FEIRA NOVA;455;21;35;641;8;1;132;1293
SE;FREI PAULO;1504;155;313;1502;41;3;666;4184
SE;GARARU;515;53;106;1262;32;0;114;2082
SE;GENERAL MAYNARD;371;13;27;205;11;1;138;766
SE;GRACCHO CARDOSO;424;22;45;854;10;3;87;1445
SE;ILHA DAS FLORES;393;18;45;568;15;2;113;1154
SE;INDIAROBA;1066;40;131;801;24;3;418;2483
SE;ITABAIANA;14698;3439;3160;21317;214;224;15910;58962
SE;ITABAIANINHA;2896;592;507;5726;82;22;1026;10851
SE;ITABI;425;26;55;788;9;2;93;1398
SE;ITAPORANGA D'AJUDA;2848;335;415;2778;85;12;1254;7727
SE;JAPARATUBA;1936;67;213;1246;81;8;467;4018
SE;JAPOATA;894;62;201;1109;49;6;200;2521
SE;LAGARTO;13227;1188;2567;20395;268;130;9596;47371
SE;LARANJEIRAS;2796;137;244;1861;41;27;1222;6328
SE;MACAMBIRA;502;58;81;1123;22;0;277;2063
SE;MALHADA DOS BOIS;343;24;49;277;13;1;145;852
SE;MALHADOR;1051;222;337;1361;61;3;389;3424
SE;MARUIM;1775;46;148;665;41;7;556;3238
SE;MOITA BONITA;1175;512;242;1624;21;3;802;4379
SE;MONTE ALEGRE DE SERGIPE;1081;170;181;1731;50;1;261;3475
SE;MURIBECA;632;39;69;590;40;2;140;1512
SE;NEOPOLIS;1308;54;179;2049;36;8;612;4246
SE;NOSSA SENHORA APARECIDA;758;152;126;1161;22;2;240;2461
SE;NOSSA SENHORA DA GLORIA;4251;549;885;7379;246;44;2050;15404
SE;NOSSA SENHORA DAS DORES;2563;254;432;3727;159;13;1271;8419
SE;NOSSA SENHORA DE LOURDES;385;29;75;824;13;6;89;1421
SE;NOSSA SENHORA DO SOCORRO;24128;1114;1860;15509;244;89;6789;49733
SE;PACATUBA;782;419;130;1330;62;3;144;2870
SE;PEDRA MOLE;182;9;36;283;7;1;40;558
SE;PEDRINHAS;577;68;96;1273;13;4;245;2276
SE;PINHAO;470;22;62;715;11;2;182;1464
SE;PIRAMBU;676;33;116;643;27;3;245;1743
SE;POCO REDONDO;1281;182;313;3367;74;14;327;5558
