UF;Municipio;POPULACAO ESTIMADA;Pais
MG;RODEIRO;8109;Brasil
MG;ROMARIA;3533;Brasil
MG;ROSARIO DA LIMEIRA;4594;Brasil
MG;RUBELITA;5995;Brasil
MG;RUBIM;10241;Brasil
MG;SABARA;136344;Brasil
MG;SABINOPOLIS;15470;Brasil
MG;SACRAMENTO;26185;Brasil
MG;SALINAS;41527;Brasil
MG;SALTO DA DIVISA;7009;Brasil
MG;SANTA BARBARA;31324;Brasil
MG;SANTA BARBARA DO LESTE;8147;Brasil
MG;SANTA BARBARA DO MONTE VERDE;3150;Brasil
MG;SANTA BARBARA DO TUGURIO;4430;Brasil
MG;SANTA CRUZ DE MINAS;8604;Brasil
MG;SANTA CRUZ DE SALINAS;4142;Brasil
MG;SANTA CRUZ DO ESCALVADO;4758;Brasil
MG;SANTA EFIGENIA DE MINAS;4409;Brasil
MG;SANTA FE DE MINAS;3846;Brasil
MG;SANTA HELENA DE MINAS;6366;Brasil
MG;SANTA JULIANA;14003;Brasil
MG;SANTA LUZIA;219134;Brasil
MG;SANTA MARGARIDA;16208;Brasil
MG;SANTA MARIA DE ITABIRA;10847;Brasil
MG;SANTA MARIA DO SALTO;5232;Brasil
MG;SANTA MARIA DO SUACUI;14615;Brasil
MG;SANTA RITA DE CALDAS;8949;Brasil
MG;SANTA RITA DE IBITIPOCA;3425;Brasil
MG;SANTA RITA DE JACUTINGA;4884;Brasil
MG;SANTA RITA DE MINAS;7212;Brasil
MG;SANTA RITA DO ITUETO;5489;Brasil
MG;SANTA RITA DO SAPUCAI;43260;Brasil
MG;SANTA ROSA DA SERRA;3350;Brasil
MG;SANTA VITORIA;19742;Brasil
MG;SANTANA DA VARGEM;7100;Brasil
MG;SANTANA DE CATAGUASES;3872;Brasil
MG;SANTANA DE PIRAPAMA;7642;Brasil
MG;SANTANA DO DESERTO;3976;Brasil
MG;SANTANA DO GARAMBEU;2458;Brasil
MG;SANTANA DO JACARE;4821;Brasil
MG;SANTANA DO MANHUACU;8674;Brasil
MG;SANTANA DO PARAISO;34663;Brasil
MG;SANTANA DO RIACHO;4295;Brasil
MG;SANTANA DOS MONTES;3777;Brasil
MG;SANTO ANTONIO DO AMPARO;18525;Brasil
MG;SANTO ANTONIO DO AVENTUREIRO;3602;Brasil
MG;SANTO ANTONIO DO GRAMA;3911;Brasil
MG;SANTO ANTONIO DO ITAMBE;3838;Brasil
MG;SANTO ANTONIO DO JACINTO;11640;Brasil
MG;SANTO ANTONIO DO MONTE;28243;Brasil
MG;SANTO ANTONIO DO RETIRO;7277;Brasil
MG;SANTO ANTONIO DO RIO ABAIXO;1765;Brasil
MG;SANTO HIPOLITO;3087;Brasil
MG;SANTOS DUMONT;46487;Brasil
MG;SAO BENTO ABADE;5286;Brasil
MG;SAO BRAS DO SUACUI;3738;Brasil
MG;SAO DOMINGOS DAS DORES;5644;Brasil
MG;SAO DOMINGOS DO PRATA;17359;Brasil
MG;SAO FELIX DE MINAS;3369;Brasil
MG;SAO FRANCISCO;56323;Brasil
MG;SAO FRANCISCO DE PAULA;6527;Brasil
MG;SAO FRANCISCO DE SALES;6238;Brasil
MG;SAO FRANCISCO DO GLORIA;4844;Brasil
MG;SAO GERALDO;12366;Brasil
MG;SAO GERALDO DA PIEDADE;3962;Brasil
MG;SAO GERALDO DO BAIXIO;4012;Brasil
MG;SAO GONCALO DO ABAETE;8389;Brasil
MG;SAO GONCALO DO PARA;12411;Brasil
MG;SAO GONCALO DO RIO ABAIXO;10920;Brasil
MG;SAO GONCALO DO RIO PRETO;3167;Brasil
MG;SAO GONCALO DO SAPUCAI;25449;Brasil
MG;SAO GOTARDO;35469;Brasil
MG;SAO JOAO BATISTA DO GLORIA;7453;Brasil
MG;SAO JOAO DA LAGOA;4915;Brasil
MG;SAO JOAO DA MATA;2749;Brasil
MG;SAO JOAO DA PONTE;25165;Brasil
MG;SAO JOAO DAS MISSOES;13014;Brasil
MG;SAO JOAO DEL REI;90082;Brasil
MG;SAO JOAO DO MANHUACU;11559;Brasil
MG;SAO JOAO DO MANTENINHA;5859;Brasil
MG;SAO JOAO DO ORIENTE;7498;Brasil
MG;SAO JOAO DO PACUI;4419;Brasil
MG;SAO JOAO DO PARAISO;23618;Brasil
MG;SAO JOAO EVANGELISTA;15774;Brasil
MG;SAO JOAO NEPOMUCENO;26361;Brasil
MG;SAO JOAQUIM DE BICAS;31578;Brasil
MG;SAO JOSE DA BARRA;7426;Brasil
MG;SAO JOSE DA LAPA;23766;Brasil
MG;SAO JOSE DA SAFIRA;4268;Brasil
MG;SAO JOSE DA VARGINHA;5004;Brasil
MG;SAO JOSE DO ALEGRE;4196;Brasil
MG;SAO JOSE DO DIVINO;3860;Brasil
MG;SAO JOSE DO GOIABAL;5420;Brasil
MG;SAO JOSE DO JACURI;6453;Brasil
MG;SAO JOSE DO MANTIMENTO;2791;Brasil
MG;SAO LOURENCO;45851;Brasil
MG;SAO MIGUEL DO ANTA;6938;Brasil
MG;SAO PEDRO DA UNIAO;4659;Brasil
MG;SAO PEDRO DO SUACUI;5246;Brasil
MG;SAO PEDRO DOS FERROS;7781;Brasil
MG;SAO ROMAO;12337;Brasil
MG;SAO ROQUE DE MINAS;7051;Brasil
MG;SAO SEBASTIAO DA BELA VISTA;5504;Brasil
MG;SAO SEBASTIAO DA VARGEM ALEGRE;3007;Brasil
MG;SAO SEBASTIAO DO ANTA;6555;Brasil
MG;SAO SEBASTIAO DO MARANHAO;10044;Brasil
MG;SAO SEBASTIAO DO OESTE;6775;Brasil
MG;SAO SEBASTIAO DO PARAISO;70956;Brasil
MG;SAO SEBASTIAO DO RIO PRETO;1506;Brasil
MG;SAO SEBASTIAO DO RIO VERDE;2241;Brasil
MG;SAO TIAGO;10941;Brasil
MG;SAO TOMAS DE AQUINO;7021;Brasil
MG;SAO TOME DAS LETRAS;7089;Brasil
MG;SAO VICENTE DE MINAS;7753;Brasil
MG;SAPUCAI-MIRIM;6930;Brasil
MG;SARDOA;6300;Brasil
MG;SARZEDO;32752;Brasil
MG;SEM-PEIXE;2633;Brasil
MG;SENADOR AMARAL;5356;Brasil
MG;SENADOR CORTES;2005;Brasil
MG;SENADOR FIRMINO;7812;Brasil
MG;SENADOR JOSE BENTO;1502;Brasil
MG;SENADOR MODESTINO GONCALVES;4156;Brasil
MG;SENHORA DE OLIVEIRA;5786;Brasil
MG;SENHORA DO PORTO;3523;Brasil
MG;SENHORA DOS REMEDIOS;10459;Brasil
MG;SERICITA;7326;Brasil
MG;SERITINGA;1851;Brasil
MG;SERRA AZUL DE MINAS;4293;Brasil
MG;SERRA DA SAUDADE;781;Brasil
MG;SERRA DO SALITRE;11582;Brasil
MG;SERRA DOS AIMORES;8699;Brasil
MG;SERRANIA;7669;Brasil
MG;SERRANOPOLIS DE MINAS;4781;Brasil
MG;SERRANOS;1963;Brasil
MG;SERRO;20966;Brasil
MG;SETE LAGOAS;239639;Brasil
MG;SETUBINHA;12258;Brasil
MG;SILVEIRANIA;2261;Brasil
MG;SILVIANOPOLIS;6238;Brasil
MG;SIMAO PEREIRA;2615;Brasil
MG;SIMONESIA;19633;Brasil
MG;SOBRALIA;5553;Brasil
MG;SOLEDADE DE MINAS;6151;Brasil
MG;TABULEIRO;3750;Brasil
MG;TAIOBEIRAS;34132;Brasil
MG;TAPARUBA;3110;Brasil
MG;TAPIRA;4773;Brasil
MG;TAPIRAI;1875;Brasil
MG;TAQUARACU DE MINAS;4077;Brasil
MG;TARUMIRIM;14326;Brasil
MG;TEIXEIRAS;11661;Brasil
MG;TEOFILO OTONI;140592;Brasil
MG;TIMOTEO;89842;Brasil
MG;TIRADENTES;7981;Brasil
MG;TIROS;6480;Brasil
MG;TOCANTINS;16659;Brasil
MG;TOCOS DO MOJI;4101;Brasil
MG;TOLEDO;6258;Brasil
MG;TOMBOS;8022;Brasil
MG;TRES CORACOES;79482;Brasil
MG;TRES MARIAS;32356;Brasil
MG;TRES PONTAS;56746;Brasil
MG;TUMIRITINGA;6732;Brasil
MG;TUPACIGUARA;25327;Brasil
MG;TURMALINA;19964;Brasil
MG;TURVOLANDIA;5040;Brasil
MG;UBA;115552;Brasil
MG;UBAI;12533;Brasil
MG;UBAPORANGA;12471;Brasil
MG;UBERABA;333783;Brasil
MG;UBERLANDIA;691305;Brasil
MG;UMBURATIBA;2611;Brasil
MG;UNAI;84378;Brasil
MG;UNIAO DE MINAS;4304;Brasil
MG;URUANA DE MINAS;3264;Brasil
MG;URUCANIA;10358;Brasil
MG;URUCUIA;16865;Brasil
MG;VARGEM ALEGRE;6480;Brasil
MG;VARGEM BONITA;2153;Brasil
MG;VARGEM GRANDE DO RIO PARDO;5007;Brasil
MG;VARGINHA;135558;Brasil
MG;VARJAO DE MINAS;7036;Brasil
MG;VARZEA DA PALMA;39493;Brasil
MG;VARZELANDIA;19320;Brasil
MG;VAZANTE;20590;Brasil
MG;VERDELANDIA;9355;Brasil
MG;VEREDINHA;5720;Brasil
MG;VERISSIMO;3999;Brasil
MG;VERMELHO NOVO;4839;Brasil
MG;VESPASIANO;127601;Brasil
MG;VICOSA;78846;Brasil
MG;VIEIRAS;3608;Brasil
MG;VIRGEM DA LAPA;13752;Brasil
MG;VIRGINIA;8674;Brasil
MG;VIRGINOPOLIS;10510;Brasil
MG;VIRGOLANDIA;5380;Brasil
MG;VISCONDE DO RIO BRANCO;42564;Brasil
MG;VOLTA GRANDE;5252;Brasil
MG;WENCESLAU BRAZ;2552;Brasil
MS;AGUA CLARA;15522;Brasil
MS;ALCINOPOLIS;5343;Brasil
MS;AMAMBAI;39396;Brasil
MS;ANASTACIO;25135;Brasil
MS;ANAURILANDIA;9035;Brasil
MS;ANGELICA;10780;Brasil
MS;ANTONIO JOAO;8956;Brasil
MS;APARECIDA DO TABOADO;25745;Brasil
MS;AQUIDAUANA;47871;Brasil
MS;ARAL MOREIRA;12149;Brasil
MS;BANDEIRANTES;6788;Brasil
MS;BATAGUASSU;23024;Brasil
MS;BATAYPORA;11329;Brasil
MS;BELA VISTA;24629;Brasil
MS;BODOQUENA;7875;Brasil
MS;BONITO;21976;Brasil
MS;BRASILANDIA;11872;Brasil
MS;CAARAPO;30174;Brasil
MS;CAMAPUA;13711;Brasil
MS;CAMPO GRANDE;895982;Brasil
MS;CARACOL;6116;Brasil
MS;CASSILANDIA;21939;Brasil
MS;CHAPADAO DO SUL;25218;Brasil
MS;CORGUINHO;5947;Brasil
MS;CORONEL SAPUCAIA;15253;Brasil
MS;CORUMBA;111435;Brasil
MS;COSTA RICA;20823;Brasil
MS;COXIM;33543;Brasil
MS;DEODAPOLIS;12924;Brasil
MS;DOIS IRMAOS DO BURITI;11385;Brasil
MS;DOURADINA;5924;Brasil
MS;DOURADOS;222949;Brasil
MS;ELDORADO;12353;Brasil
MS;FATIMA DO SUL;19189;Brasil
MS;FIGUEIRAO;3051;Brasil
MS;GLORIA DE DOURADOS;9965;Brasil
MS;GUIA LOPES DA LAGUNA;9895;Brasil
MS;IGUATEMI;16078;Brasil
MS;INOCENCIA;7610;Brasil
MS;ITAPORA;24839;Brasil
MS;ITAQUIRAI;21142;Brasil
MS;IVINHEMA;23187;Brasil
MS;JAPORA;9110;Brasil
MS;JARAGUARI;7187;Brasil
MS;JARDIM;26097;Brasil
MS;JATEI;4027;Brasil
MS;JUTI;6712;Brasil
MS;LADARIO;23331;Brasil
MS;LAGUNA CARAPA;7341;Brasil
MS;MARACAJU;47083;Brasil
MS;MIRANDA;28013;Brasil
MS;MUNDO NOVO;18366;Brasil
MS;NAVIRAI;54878;Brasil
MS;NIOAQUE;13930;Brasil
MS;NOVA ALVORADA DO SUL;21882;Brasil
MS;NOVA ANDRADINA;54374;Brasil
MS;NOVO HORIZONTE DO SUL;3814;Brasil
MS;PARAISO DAS AGUAS;5555;Brasil
MS;PARANAIBA;42148;Brasil
MS;PARANHOS;14228;Brasil
MS;PEDRO GOMES;7674;Brasil
MS;PONTA PORA;92526;Brasil
MS;PORTO MURTINHO;17131;Brasil
MS;RIBAS DO RIO PARDO;24615;Brasil
MS;RIO BRILHANTE;37514;Brasil
MS;RIO NEGRO;4831;Brasil
MS;RIO VERDE DE MATO GROSSO;19746;Brasil
MS;ROCHEDO;5499;Brasil
MS;SANTA RITA DO PARDO;7851;Brasil
MS;SAO GABRIEL DO OESTE;26771;Brasil
MS;SELVIRIA;6529;Brasil
MS;SETE QUEDAS;10791;Brasil
MS;SIDROLANDIA;57665;Brasil
MS;SONORA;19274;Brasil
MS;TACURU;11552;Brasil
MS;TAQUARUSSU;3588;Brasil
MS;TERENOS;21806;Brasil
MS;TRES LAGOAS;121388;Brasil
MS;VICENTINA;6102;Brasil
MT;ACORIZAL;5399;Brasil
MT;AGUA BOA;25721;Brasil
MT;ALTA FLORESTA;51782;Brasil
MT;ALTO ARAGUAIA;19044;Brasil
MT;ALTO BOA VISTA;6822;Brasil
MT;ALTO GARCAS;12030;Brasil
MT;ALTO PARAGUAI;11356;Brasil
MT;ALTO TAQUARI;10847;Brasil
MT;APIACAS;10133;Brasil
MT;ARAGUAIANA;3100;Brasil
MT;ARAGUAINHA;935;Brasil
MT;ARAPUTANGA;16822;Brasil
MT;ARENAPOLIS;9607;Brasil
MT;ARIPUANA;22354;Brasil
MT;BARAO DE MELGACO;8564;Brasil
MT;BARRA DO BUGRES;34966;Brasil
MT;BARRA DO GARCAS;61012;Brasil
MT;BOM JESUS DO ARAGUAIA;6580;Brasil
MT;BRASNORTE;19695;Brasil
MT;CACERES;94376;Brasil
MT;CAMPINAPOLIS;15980;Brasil
MT;CAMPO NOVO DO PARECIS;35360;Brasil
MT;CAMPO VERDE;44041;Brasil
MT;CAMPOS DE JULIO;6891;Brasil
MT;CANABRAVA DO NORTE;4743;Brasil
MT;CANARANA;21579;Brasil
MT;CARLINDA;10305;Brasil
MT;CASTANHEIRA;8729;Brasil
MT;CHAPADA DOS GUIMARAES;19752;Brasil
MT;CLAUDIA;12149;Brasil
MT;COCALINHO;5700;Brasil
MT;COLIDER;33438;Brasil
MT;COLNIZA;38582;Brasil
MT;COMODORO;20763;Brasil
MT;CONFRESA;30933;Brasil
MT;CONQUISTA D'OESTE;4038;Brasil
MT;COTRIGUACU;19750;Brasil
MT;CUIABA;612547;Brasil
MT;CURVELANDIA;5219;Brasil
MT;DENISE;9462;Brasil
MT;DIAMANTINO;22041;Brasil
MT;DOM AQUINO;8178;Brasil
MT;FELIZ NATAL;14192;Brasil
MT;FIGUEIROPOLIS D'OESTE;3494;Brasil
MT;GAUCHA DO NORTE;7648;Brasil
MT;GENERAL CARNEIRO;5540;Brasil
MT;GLORIA D'OESTE;3026;Brasil
MT;GUARANTA DO NORTE;35816;Brasil
MT;GUIRATINGA;15141;Brasil
MT;INDIAVAI;2752;Brasil
MT;IPIRANGA DO NORTE;7667;Brasil
MT;ITANHANGA;6737;Brasil
MT;ITAUBA;3802;Brasil
MT;ITIQUIRA;13345;Brasil
MT;JACIARA;27776;Brasil
MT;JANGADA;8409;Brasil
MT;JAURU;8793;Brasil
MT;JUARA;34974;Brasil
MT;JUINA;40997;Brasil
MT;JURUENA;15865;Brasil
MT;JUSCIMEIRA;11221;Brasil
MT;LAMBARI D'OESTE;6121;Brasil
MT;LUCAS DO RIO VERDE;65534;Brasil
MT;LUCIARA;2077;Brasil
MT;MARCELANDIA;10499;Brasil
MT;MATUPA;16566;Brasil
MT;MIRASSOL D'OESTE;27739;Brasil
MT;NOBRES;15336;Brasil
MT;NORTELANDIA;5989;Brasil
MT;NOSSA SENHORA DO LIVRAMENTO;13216;Brasil
MT;NOVA BANDEIRANTES;15288;Brasil
MT;NOVA BRASILANDIA;3829;Brasil
MT;NOVA CANAA DO NORTE;12787;Brasil
MT;NOVA GUARITA;4519;Brasil
MT;NOVA LACERDA;6640;Brasil
MT;NOVA MARILANDIA;3278;Brasil
MT;NOVA MARINGA;8641;Brasil
MT;NOVA MONTE VERDE;9178;Brasil
MT;NOVA MUTUM;45378;Brasil
MT;NOVA NAZARE;3849;Brasil
MT;NOVA OLIMPIA;20301;Brasil
MT;NOVA SANTA HELENA;3718;Brasil
MT;NOVA UBIRATA;11982;Brasil
MT;NOVA XAVANTINA;21374;Brasil
MT;NOVO HORIZONTE DO NORTE;4004;Brasil
MT;NOVO MUNDO;9178;Brasil
MT;NOVO SANTO ANTONIO;2640;Brasil
MT;NOVO SAO JOAQUIM;5074;Brasil
MT;PARANAITA;11225;Brasil
MT;PARANATINGA;22563;Brasil
MT;PEDRA PRETA;17626;Brasil
MT;PEIXOTO DE AZEVEDO;34976;Brasil
MT;PLANALTO DA SERRA;2662;Brasil
MT;POCONE;32843;Brasil
MT;PONTAL DO ARAGUAIA;6711;Brasil
MT;PONTE BRANCA;1576;Brasil
MT;PONTES E LACERDA;45436;Brasil
MT;PORTO ALEGRE DO NORTE;12517;Brasil
MT;PORTO DOS GAUCHOS;5410;Brasil
MT;PORTO ESPERIDIAO;12017;Brasil
MT;PORTO ESTRELA;2963;Brasil
MT;POXOREO;16219;Brasil
MT;PRIMAVERA DO LESTE;62019;Brasil
MT;QUERENCIA;17479;Brasil
MT;RESERVA DO CABACAL;2732;Brasil
MT;RIBEIRAO CASCALHEIRA;10206;Brasil
MT;RIBEIRAOZINHO;2405;Brasil
MT;RIO BRANCO;5156;Brasil
MT;RONDOLANDIA;4001;Brasil
MT;RONDONOPOLIS;232491;Brasil
MT;ROSARIO OESTE;17151;Brasil
MT;SALTO DO CEU;3365;Brasil
MT;SANTA CARMEM;4525;Brasil
MT;SANTA CRUZ DO XINGU;2564;Brasil
MT;SANTA RITA DO TRIVELATO;3429;Brasil
MT;SANTA TEREZINHA;8371;Brasil
MT;SANTO AFONSO;3146;Brasil
MT;SANTO ANTONIO DO LESTE;5174;Brasil
MT;SANTO ANTONIO DO LEVERGER;16628;Brasil
MT;SAO FELIX DO ARAGUAIA;11708;Brasil
MT;SAO JOSE DO POVO;4063;Brasil
MT;SAO JOSE DO RIO CLARO;20664;Brasil
MT;SAO JOSE DO XINGU;5595;Brasil
MT;SAO JOSE DOS QUATRO MARCOS;18906;Brasil
MT;SAO PEDRO DA CIPA;4727;Brasil
MT;SAPEZAL;25881;Brasil
MT;SERRA NOVA DOURADA;1650;Brasil
MT;SINOP;142996;Brasil
MT;SORRISO;90313;Brasil
MT;TABAPORA;9489;Brasil
MT;TANGARA DA SERRA;103750;Brasil
MT;TAPURAH;13705;Brasil
MT;TERRA NOVA DO NORTE;9667;Brasil
MT;TESOURO;3805;Brasil
MT;TORIXOREU;3609;Brasil
MT;UNIAO DO SUL;3525;Brasil
MT;VALE DE SAO DOMINGOS;3127;Brasil
MT;VARZEA GRANDE;284971;Brasil
MT;VERA;11309;Brasil
MT;VILA BELA DA SANTISSIMA TRINDA;16128;Brasil
MT;VILA RICA;26037;Brasil
PA;ABAETETUBA;157698;Brasil
PA;ABEL FIGUEIREDO;7434;Brasil
PA;ACARA;55591;Brasil
PA;AFUA;39218;Brasil
PA;AGUA AZUL DO NORTE;27430;Brasil
PA;ALENQUER;56789;Brasil
PA;ALMEIRIM;34109;Brasil
PA;ALTAMIRA;114594;Brasil
PA;ANAJAS;29277;Brasil
PA;ANANINDEUA;530598;Brasil
PA;ANAPU;27890;Brasil
PA;AUGUSTO CORREA;45998;Brasil
PA;AURORA DO PARA;31338;Brasil
PA;AVEIRO;16388;Brasil
PA;BAGRE;30673;Brasil
PA;BAIAO;47446;Brasil
PA;BANNACH;3286;Brasil
PA;BARCARENA;124680;Brasil
PA;BELEM;1492745;Brasil
PA;BELTERRA;17732;Brasil
PA;BENEVIDES;62737;Brasil
PA;BOM JESUS DO TOCANTINS;16981;Brasil
PA;BONITO;16286;Brasil
PA;BRAGANCA;127686;Brasil
PA;BRASIL NOVO;15086;Brasil
PA;BREJO GRANDE DO ARAGUAIA;7380;Brasil
PA;BREU BRANCO;66046;Brasil
PA;BREVES;102701;Brasil
PA;BUJARU;29132;Brasil
PA;CACHOEIRA DO ARARI;23767;Brasil
PA;CACHOEIRA DO PIRIA;33900;Brasil
PA;CAMETA;137890;Brasil
PA;CANAA DOS CARAJAS;37085;Brasil
PA;CAPANEMA;69027;Brasil
PA;CAPITAO POCO;54303;Brasil
PA;CASTANHAL;200793;Brasil
PA;CHAVES;23717;Brasil
PA;COLARES;12085;Brasil
PA;CONCEICAO DO ARAGUAIA;47864;Brasil
PA;CONCORDIA DO PARA;33318;Brasil
PA;CUMARU DO NORTE;13473;Brasil
PA;CURIONOPOLIS;17929;Brasil
PA;CURRALINHO;34448;Brasil
PA;CURUA;14393;Brasil
PA;CURUCA;40066;Brasil
PA;DOM ELISEU;59719;Brasil
PA;ELDORADO DOS CARAJAS;33808;Brasil
PA;FARO;7194;Brasil
PA;FLORESTA DO ARAGUAIA;20304;Brasil
PA;GARRAFAO DO NORTE;26066;Brasil
PA;GOIANESIA DO PARA;40475;Brasil
PA;GURUPA;33376;Brasil
PA;IGARAPE-ACU;38807;Brasil
PA;IGARAPE-MIRI;62698;Brasil
PA;INHANGAPI;11711;Brasil
PA;IPIXUNA DO PARA;64053;Brasil
PA;IRITUIA;32550;Brasil
PA;ITAITUBA;101247;Brasil
PA;ITUPIRANGA;53269;Brasil
PA;JACAREACANGA;8239;Brasil
PA;JACUNDA;59155;Brasil
PA;JURUTI;57943;Brasil
PA;LIMOEIRO DO AJURU;28935;Brasil
PA;MAE DO RIO;30077;Brasil
PA;MAGALHAES BARATA;8548;Brasil
PA;MARABA;279349;Brasil
PA;MARACANA;29473;Brasil
PA;MARAPANIM;28336;Brasil
PA;MARITUBA;131521;Brasil
PA;MEDICILANDIA;31597;Brasil
PA;MELGACO;27654;Brasil
PA;MOCAJUBA;31136;Brasil
PA;MOJU;82094;Brasil
PA;MOJUI DOS CAMPOS;16084;Brasil
PA;MONTE ALEGRE;58032;Brasil
PA;MUANA;40349;Brasil
PA;NOVA ESPERANCA DO PIRIA;21368;Brasil
PA;NOVA IPIXUNA;16678;Brasil
PA;NOVA TIMBOTEUA;15363;Brasil
PA;NOVO PROGRESSO;25762;Brasil
PA;NOVO REPARTIMENTO;75919;Brasil
PA;OBIDOS;52137;Brasil
PA;OEIRAS DO PARA;32512;Brasil
PA;ORIXIMINA;73096;Brasil
PA;OUREM;17842;Brasil
PA;OURILANDIA DO NORTE;32832;Brasil
PA;PACAJA;47706;Brasil
PA;PALESTINA DO PARA;7589;Brasil
PA;PARAGOMINAS;113145;Brasil
PA;PARAUAPEBAS;208273;Brasil
PA;PAU D'ARCO;5483;Brasil
PA;PEIXE-BOI;8077;Brasil
PA;PICARRA;12981;Brasil
PA;PLACAS;30982;Brasil
PA;PONTA DE PEDRAS;31082;Brasil
PA;PORTEL;62043;Brasil
PA;PORTO DE MOZ;41135;Brasil
PA;PRAINHA;29866;Brasil
PA;PRIMAVERA;10825;Brasil
PA;QUATIPURU;13608;Brasil
PA;REDENCAO;84787;Brasil
PA;RIO MARIA;18193;Brasil
PA;RONDON DO PARA;52357;Brasil
PA;RUROPOLIS;50510;Brasil
PA;SALINOPOLIS;40675;Brasil
PA;SALVATERRA;23752;Brasil
PA;SANTA BARBARA DO PARA;21079;Brasil
PA;SANTA CRUZ DO ARARI;10128;Brasil
PA;SANTA ISABEL DO PARA;70801;Brasil
PA;SANTA LUZIA DO PARA;19848;Brasil
PA;SANTA MARIA DAS BARREIRAS;21449;Brasil
PA;SANTA MARIA DO PARA;24861;Brasil
PA;SANTANA DO ARAGUAIA;72817;Brasil
PA;SANTAREM;304589;Brasil
PA;SANTAREM NOVO;6709;Brasil
PA;SANTO ANTONIO DO TAUA;31482;Brasil
PA;SAO CAETANO DE ODIVELAS;18050;Brasil
PA;SAO DOMINGOS DO ARAGUAIA;25557;Brasil
PA;SAO DOMINGOS DO CAPIM;31989;Brasil
PA;SAO FELIX DO XINGU;128481;Brasil
PA;SAO FRANCISCO DO PARA;15882;Brasil
PA;SAO GERALDO DO ARAGUAIA;24847;Brasil
PA;SAO JOAO DA PONTA;6139;Brasil
PA;SAO JOAO DE PIRABAS;23045;Brasil
PA;SAO JOAO DO ARAGUAIA;13996;Brasil
PA;SAO MIGUEL DO GUAMA;58986;Brasil
PA;SAO SEBASTIAO DA BOA VISTA;26640;Brasil
PA;SAPUCAIA;5930;Brasil
PA;SENADOR JOSE PORFIRIO;11658;Brasil
PA;SOURE;25374;Brasil
PA;TAILANDIA;106339;Brasil
PA;TERRA ALTA;11720;Brasil
PA;TERRA SANTA;18769;Brasil
PA;TOME-ACU;63447;Brasil
PA;TRACUATEUA;30959;Brasil
PA;TRAIRAO;18989;Brasil
PA;TUCUMA;39602;Brasil
PA;TUCURUI;113659;Brasil
PA;ULIANOPOLIS;59210;Brasil
PA;URUARA;45476;Brasil
PA;VIGIA;53686;Brasil
PA;VISEU;61403;Brasil
PA;VITORIA DO XINGU;15134;Brasil
PA;XINGUARA;44751;Brasil
PB;AGUA BRANCA;10234;Brasil
PB;AGUIAR;5640;Brasil
PB;ALAGOA GRANDE;28496;Brasil
PB;ALAGOA NOVA;20849;Brasil
PB;ALAGOINHA;14489;Brasil
PB;ALCANTIL;5492;Brasil
PB;ALGODAO DE JANDAIRA;2567;Brasil
PB;ALHANDRA;19588;Brasil
PB;AMPARO;2238;Brasil
PB;APARECIDA;8347;Brasil
PB;ARACAGI;16987;Brasil
PB;ARARA;13470;Brasil
PB;ARARUNA;20312;Brasil
PB;AREIA;22819;Brasil
PB;AREIA DE BARAUNAS;2128;Brasil
PB;AREIAL;6998;Brasil
PB;AROEIRAS;19153;Brasil
PB;ASSUNCAO;3990;Brasil
PB;BAIA DA TRAICAO;8993;Brasil
PB;BANANEIRAS;21318;Brasil
PB;BARAUNA;4892;Brasil
PB;BARRA DE SANTA ROSA;15384;Brasil
PB;BARRA DE SANTANA;8359;Brasil
PB;BARRA DE SAO MIGUEL;6036;Brasil
PB;BAYEUX;96880;Brasil
PB;BELEM;17676;Brasil
PB;BELEM DO BREJO DO CRUZ;7342;Brasil
PB;BERNARDINO BATISTA;3501;Brasil
PB;BOA VENTURA;5366;Brasil
PB;BOA VISTA;7051;Brasil
PB;BOM JESUS;2561;Brasil
PB;BOM SUCESSO;4975;Brasil
PB;BONITO DE SANTA FE;11917;Brasil
PB;BOQUEIRAO;17804;Brasil
PB;BORBOREMA;5263;Brasil
PB;BREJO DO CRUZ;14122;Brasil
PB;BREJO DOS SANTOS;6449;Brasil
PB;CAAPORA;21828;Brasil
PB;CABACEIRAS;5611;Brasil
PB;CABEDELO;67736;Brasil
PB;CACHOEIRA DOS INDIOS;10244;Brasil
PB;CACIMBA DE AREIA;3682;Brasil
PB;CACIMBA DE DENTRO;17187;Brasil
PB;CACIMBAS;7173;Brasil
PB;CAICARA;7201;Brasil
PB;CAJAZEIRAS;61993;Brasil
PB;CAJAZEIRINHAS;3193;Brasil
PB;CALDAS BRANDAO;6014;Brasil
PB;CAMALAU;6013;Brasil
PB;CAMPINA GRANDE;409731;Brasil
PB;CAPIM;6523;Brasil
PB;CARAUBAS;4162;Brasil
PB;CARRAPATEIRA;2659;Brasil
PB;CASSERENGUE;7468;Brasil
PB;CATINGUEIRA;4932;Brasil
PB;CATOLE DO ROCHA;30546;Brasil
PB;CATURITE;4852;Brasil
PB;CONCEICAO;18982;Brasil
PB;CONDADO;6654;Brasil
PB;CONDE;24670;Brasil
PB;CONGO;4786;Brasil
PB;COREMAS;15445;Brasil
PB;COXIXOLA;1921;Brasil
PB;CRUZ DO ESPIRITO SANTO;17319;Brasil
PB;CUBATI;7797;Brasil
PB;CUITE;20338;Brasil
PB;CUITE DE MAMANGUAPE;6353;Brasil
PB;CUITEGI;6803;Brasil
PB;CURRAL DE CIMA;5227;Brasil
